"bill_id","number","state","status","title","description","_dlt_load_id","_dlt_id"
1890725,"HB585","TX",1,"Relating to the right to assistive reproductive technology treatments and procedures, including in vitro fertilization.","Relating to the right to assistive reproductive technology treatments and procedures, including in vitro fertilization.","1739840141.372451","JJekULXe+lTBkg"
1891554,"HB653","TX",1,"Relating to the purchase and use of contraceptives and access to contraceptive information.","Relating to the purchase and use of contraceptives and access to contraceptive information.","1739840141.372451","vPsVsNPcuKEi3g"
1890697,"HB818","TX",1,"Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.","Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.","1739840141.372451","sc3macr0WS3Clw"
1891604,"HB911","TX",1,"Relating to the designation of Celebration of Life Day as a state holiday.","Relating to the designation of Celebration of Life Day as a state holiday.","1739840141.372451","+pQDlhlP1S2mvw"
1891486,"HB965","TX",1,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.","1739840141.372451","PVOiNdW+UrYrLw"
1891754,"HB991","TX",1,"Relating to abortion, including civil liability for distribution of abortion-inducing drugs and duties of Internet service providers; creating a criminal offense; authorizing a private civil right of action.","Relating to abortion, including civil liability for distribution of abortion-inducing drugs and duties of Internet service providers; creating a criminal offense; authorizing a private civil right of action.","1739840141.372451","goKht5qu8OhvTA"
1890527,"HB1143","TX",1,"Relating to the establishment of a memorial monument dedicated to unborn children on the Capitol grounds.","Relating to the establishment of a memorial monument dedicated to unborn children on the Capitol grounds.","1739840141.372451","TY7BADruL9vvcg"
1890690,"HB1161","TX",1,"Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive.","Relating to an advance directive and do-not-resuscitate order of a pregnant woman and information provided for an advance directive.","1739840141.372451","UfLHVGkflMbRyQ"
1891474,"HB1219","TX",1,"Relating to prioritization of a pregnant individual's health when providing health care treatments; authorizing an administrative penalty.","Relating to prioritization of a pregnant individual's health when providing health care treatments; authorizing an administrative penalty.","1739840141.372451","xQEJ6V9eQKHn2g"
1890407,"HB1220","TX",1,"Relating to exceptions to laws prohibiting abortion.","Relating to exceptions to laws prohibiting abortion.","1739840141.372451","WrFkfhWDRiEwCA"
1890654,"HB1254","TX",1,"Related to expanding the exemptions of abortions and Texas women's access to reproductive healthcare including in vitro fertilization.","Related to expanding the exemptions of abortions and Texas women's access to reproductive healthcare including in vitro fertilization.","1739840141.372451","kQKG3x3kjjHM6Q"
1891841,"HB1304","TX",1,"Relating to required labeling of certain products containing or derived from aborted human fetal tissue.","Relating to required labeling of certain products containing or derived from aborted human fetal tissue.","1739840141.372451","8EvLfdRxZiJNtQ"
1892158,"HB1339","TX",1,"Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.","Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.","1739840141.372451","5opBe4AHSx86hg"
1894318,"HB1493","TX",1,"Relating to liability for the provision of certain medical treatment to a pregnant woman by a physician or health care provider.","Relating to liability for the provision of certain medical treatment to a pregnant woman by a physician or health care provider.","1739840141.372451","297WKdgqAFryJA"
1895981,"HB1578","TX",1,"Relating to exceptions to and the repeal of certain laws prohibiting abortion.","Relating to exceptions to and the repeal of certain laws prohibiting abortion.","1739840141.372451","cnyr6R0ML6SGrw"
1896917,"HB1636","TX",1,"Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.","Relating to designating certain substances as Schedule IV controlled substances under the Texas Controlled Substances Act.","1739840141.372451","XhSzJ9gIF/111g"
1897297,"HB1651","TX",1,"Relating to a restriction on the sale or distribution of an abortion-inducing drug through an Internet website.","Relating to a restriction on the sale or distribution of an abortion-inducing drug through an Internet website.","1739840141.372451","Tyus5mumVRfF/Q"
