"subject_id","subject_name","_dlt_root_id","_dlt_parent_id","_dlt_list_idx","_dlt_id"
5326,"Crimes","HfB5b/sQOZjgjQ","HfB5b/sQOZjgjQ",1,"cpNYjI48P6yhAA"
5327,"Crimes--Against Persons","HfB5b/sQOZjgjQ","HfB5b/sQOZjgjQ",2,"j3qvJNXzqWyiGw"
5342,"Crimes--Against Persons--Sexual","HfB5b/sQOZjgjQ","HfB5b/sQOZjgjQ",3,"hcwxBGVsK1wkaA"
5302,"Highways","on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",0,"TNrbIk0zTJBeQA"
5358,"Vehicles & Traffic","on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",1,"aAFpLM0VvGEo5g"
5359,"Vehicles & Traffic--Rules of Road","on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",2,"zDCdWTGXQNMaKQ"
5915,"Women","on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",3,"7rtoYhpl7FIOOg"
6018,"PREGNANCY & CHILDBIRTH","on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",4,"hhHGMdqyxbtjbw"
10339,"HOV & EXCLUSIVE LANES","on/Jr1lXGN3Omg","on/Jr1lXGN3Omg",5,"qOornacRo6nGyg"
5273,"Health","6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",0,"flwq39NdAwrw8w"
5554,"Health--Other Diseases & Medical Conditions","6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",1,"0qEUg3UIHNKpPg"
5673,"BIRTH & DEATH CERTIFICATES","6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",2,"0l1C1P3yayta6w"
6018,"PREGNANCY & CHILDBIRTH","6/SXGcVrz2PBSw","6/SXGcVrz2PBSw",3,"6gnZcNk04AarmA"
5389,"Health Care Providers","auCokhHcc0EApQ","auCokhHcc0EApQ",0,"tbNg47qGYKr0dw"
5273,"Health","auCokhHcc0EApQ","auCokhHcc0EApQ",1,"9uu7BqQKf1jhWw"
5554,"Health--Other Diseases & Medical Conditions","auCokhHcc0EApQ","auCokhHcc0EApQ",2,"NyLuCd7vTMg6kw"
5349,"Civil Remedies & Liabilities","auCokhHcc0EApQ","auCokhHcc0EApQ",3,"oCrDDrr3yBzYwA"
188136,"INFERTILITY","auCokhHcc0EApQ","auCokhHcc0EApQ",4,"nPFwhe5b0Nr2mQ"
5444,"HEALTH & HUMAN SERVICES COMMISSION","auCokhHcc0EApQ","auCokhHcc0EApQ",5,"gyQsrJKKvauCgQ"
5403,"FAMILY PLANNING & BIRTH CONTROL","auCokhHcc0EApQ","auCokhHcc0EApQ",6,"wKHdxpF3NIIbUg"
5273,"Health","wWSuygJnEPwFJg","wWSuygJnEPwFJg",0,"hzvp+o4OlN/u2w"
5274,"Health--General","wWSuygJnEPwFJg","wWSuygJnEPwFJg",1,"cfeQ7gPYREBZBQ"
5334,"Occupational Regulation","wWSuygJnEPwFJg","wWSuygJnEPwFJg",2,"S/MwZNNOvZySsA"
5335,"Occupational Regulation--Health Occupations","wWSuygJnEPwFJg","wWSuygJnEPwFJg",3,"jV1aXkogiouuow"
5403,"FAMILY PLANNING & BIRTH CONTROL","wWSuygJnEPwFJg","wWSuygJnEPwFJg",4,"jZ/rwRLegIsz0g"
5379,"Abortion","2e1vT1mBLsB94w","2e1vT1mBLsB94w",0,"6HXwIX/+sIyaiw"
323487,"TEXAS CONTROLLED SUBSTANCES ACT","2e1vT1mBLsB94w","2e1vT1mBLsB94w",1,"YoMLG9yTLiobwg"
5336,"MEDICINE & PRESCRIPTION DRUGS","2e1vT1mBLsB94w","2e1vT1mBLsB94w",2,"lA2R8HYurY44Iw"
5379,"Abortion","xA6KyuPelnzLkg","xA6KyuPelnzLkg",0,"WHg8y0N514ByZw"
5693,"Holidays","xA6KyuPelnzLkg","xA6KyuPelnzLkg",1,"26eN+4SybMnvZw"
362523,"CELEBRATION OF LIFE DAY","xA6KyuPelnzLkg","xA6KyuPelnzLkg",2,"/SKb7B2LUgprgg"
5379,"Abortion","xeJdVbHeI8I2uA","xeJdVbHeI8I2uA",0,"P1L/bVKdUHMHxw"
5379,"Abortion","HgPEGkRH0pXchA","HgPEGkRH0pXchA",0,"f/bmEKyKDNyuEA"
5349,"Civil Remedies & Liabilities","HgPEGkRH0pXchA","HgPEGkRH0pXchA",1,"w/XbABunB7ZQyA"
5326,"Crimes","HgPEGkRH0pXchA","HgPEGkRH0pXchA",2,"ilX+u7T3HmKlwg"
5454,"Crimes--Against Morals","HgPEGkRH0pXchA","HgPEGkRH0pXchA",3,"VYHxhbHK1q1Tig"
5345,"Electronic Information Systems","HgPEGkRH0pXchA","HgPEGkRH0pXchA",4,"4YLv1jzF3FXIwg"
5525,"Political Subdivisions","HgPEGkRH0pXchA","HgPEGkRH0pXchA",5,"uT+dbWdLjvhnBw"
5353,"Utilities","HgPEGkRH0pXchA","HgPEGkRH0pXchA",6,"tjCi+9C1yczRvg"
5651,"Utilities--Telecommunications","HgPEGkRH0pXchA","HgPEGkRH0pXchA",7,"3ORc+xSQ+shXEA"
5421,"COMPUTERS & SOFTWARE","HgPEGkRH0pXchA","HgPEGkRH0pXchA",8,"J4ZkHmGDiYCJHw"
5701,"EVIDENCE","HgPEGkRH0pXchA","HgPEGkRH0pXchA",9,"1R1x/UCKuQlssw"
5331,"INTERNET","HgPEGkRH0pXchA","HgPEGkRH0pXchA",10,"9mVG+0Bh06bfog"
5336,"MEDICINE & PRESCRIPTION DRUGS","HgPEGkRH0pXchA","HgPEGkRH0pXchA",11,"LEojQBtdsJOF8A"
6036,"POSTAL SERVICE","HgPEGkRH0pXchA","HgPEGkRH0pXchA",12,"VO2wp5/4OwrvGA"
5514,"ATTORNEY GENERAL","HgPEGkRH0pXchA","HgPEGkRH0pXchA",13,"gYgi1ZsbREDM8g"
383513,"WOMEN & CHILD SAFETY ACT","HgPEGkRH0pXchA","HgPEGkRH0pXchA",14,"7cIwTaE/sg9RvA"
5379,"Abortion","OBvBWf5CJCioZg","OBvBWf5CJCioZg",0,"ltC7n0YwnztYgg"
5284,"Historic Preservation & Museums","OBvBWf5CJCioZg","OBvBWf5CJCioZg",1,"sSlaWuUY80Cxuw"
5280,"State Agencies, Boards & Commissions","OBvBWf5CJCioZg","OBvBWf5CJCioZg",2,"l8PH1Bhl4lNNQw"
6694,"STATE CAPITOL BUILDING & GROUNDS","OBvBWf5CJCioZg","OBvBWf5CJCioZg",3,"XJLKLAxiPCBzJw"
321910,"STATE PRESERVATION BOARD","OBvBWf5CJCioZg","OBvBWf5CJCioZg",4,"m2OGW/1Ktv/LEQ"
5389,"Health Care Providers","1ifIXmYV+iRywg","1ifIXmYV+iRywg",0,"lJEtK+9IqC9N2A"
5273,"Health","1ifIXmYV+iRywg","1ifIXmYV+iRywg",1,"nUn3Y749Axupzw"
5274,"Health--General","1ifIXmYV+iRywg","1ifIXmYV+iRywg",2,"4LcRLj3kazALuA"
5734,"Health--Privacy/Use of Information","1ifIXmYV+iRywg","1ifIXmYV+iRywg",3,"jdVz5Vqemp51qg"
6103,"ADVANCE DIRECTIVES","1ifIXmYV+iRywg","1ifIXmYV+iRywg",4,"pNqK/K+l+eQsBg"
6018,"PREGNANCY & CHILDBIRTH","1ifIXmYV+iRywg","1ifIXmYV+iRywg",5,"SLo/DazG12yMKg"
5379,"Abortion","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",0,"eti5kkzNJi1ZcQ"
5389,"Health Care Providers","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",1,"v2NGUUsgEFE0RA"
5273,"Health","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",2,"73uUi2bZlOD9nA"
5554,"Health--Other Diseases & Medical Conditions","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",3,"YRLlD6A0kLAeug"
5334,"Occupational Regulation","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",4,"y7SkpQZkzFDmIw"
5335,"Occupational Regulation--Health Occupations","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",5,"eqFQiziSkkIgEg"
5915,"Women","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",6,"bBVnxFDp4Hv3xQ"
6018,"PREGNANCY & CHILDBIRTH","KgvH6c3Ig1Uxlw","KgvH6c3Ig1Uxlw",7,"Ho+WJunRd1YbxA"
5379,"Abortion","vw9/umqCQfoLew","vw9/umqCQfoLew",0,"eXxa9FIs3/2PnQ"
5381,"PHYSICIANS","vw9/umqCQfoLew","vw9/umqCQfoLew",1,"yi2jyM8kHOnnEA"
5379,"Abortion","Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",0,"UYI7SWXJ5Ya8AQ"
5273,"Health","Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",1,"kN3VpUw6eK8qlw"
5274,"Health--General","Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",2,"/DKHq8FyUsZFdg"
5403,"FAMILY PLANNING & BIRTH CONTROL","Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",3,"KW8iGGHRQ6h0Hw"
6018,"PREGNANCY & CHILDBIRTH","Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",4,"okVPUlHtJI1Xqg"
188136,"INFERTILITY","Koe9VEwfbFESkQ","Koe9VEwfbFESkQ",5,"Twk5uLpP33u/0A"
5379,"Abortion","BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",0,"QD3+O5C146oYjw"
5273,"Health","BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",1,"ATywDXdDa6I6IA"
5274,"Health--General","BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",2,"+SeY2RMoG1wJSg"
5949,"PACKAGING & LABELING REQUIREMENTS","BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",3,"cz3fOrnQh9m3qw"
5444,"HEALTH & HUMAN SERVICES COMMISSION","BPVgCW3gJU3ZeA","BPVgCW3gJU3ZeA",4,"4XPuNVovp23CVw"
5326,"Crimes","lt7FTxnra3HoBA","lt7FTxnra3HoBA",0,"kj+lgPZJTHlZlQ"
5537,"Crimes--Drugs","lt7FTxnra3HoBA","lt7FTxnra3HoBA",1,"GRgMuyQbf7KG0Q"
5336,"MEDICINE & PRESCRIPTION DRUGS","lt7FTxnra3HoBA","lt7FTxnra3HoBA",2,"+MQ30RKD/y/vyQ"
5379,"Abortion","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",0,"hWhDsrxGSFIscw"
5349,"Civil Remedies & Liabilities","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",1,"PoHsAFYKFY90Qg"
5389,"Health Care Providers","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",2,"xmSBWB19Y4XDWw"
5273,"Health","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",3,"IQZJyrCo51IRAA"
5274,"Health--General","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",4,"TEJd+q0+ict1qA"
6044,"Malpractice","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",5,"rs4soyCUKSCiUw"
6045,"Malpractice--Professionals","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",6,"D/c7eB8fE9ikgw"
5915,"Women","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",7,"3rfcg8KfqvLa9g"
383524,"LIFE OF THE MOTHER ACT","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",8,"TJc4ECv1fzhyVg"
5381,"PHYSICIANS","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",9,"8zYpe85S2zXt9Q"
6018,"PREGNANCY & CHILDBIRTH","LDLP0LsK2TDVcw","LDLP0LsK2TDVcw",10,"YP7t2kri2i1Q8Q"
5379,"Abortion","lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",0,"KVojhHCs1Mo1zA"
5326,"Crimes","lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",1,"gg5v0kjk55umhA"
5327,"Crimes--Against Persons","lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",2,"0XsQgZzrJxVGiQ"
5342,"Crimes--Against Persons--Sexual","lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",3,"kQcLX4tTzpnW+Q"
5273,"Health","lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",4,"ZkO/xLGNxKTxmA"
5554,"Health--Other Diseases & Medical Conditions","lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",5,"z7yrPq5xqs3CPg"
5382,"MEDICAL BOARD, TEXAS","lhwIqJLc9QU6+A","lhwIqJLc9QU6+A",6,"O8L3DtrQaXiITg"
5379,"Abortion","zIDCUESFgH4QzQ","zIDCUESFgH4QzQ",0,"6tjSIzd3l5f8wg"
5915,"Women","zIDCUESFgH4QzQ","zIDCUESFgH4QzQ",1,"PIMlmwlg7JYSzw"
323487,"TEXAS CONTROLLED SUBSTANCES ACT","zIDCUESFgH4QzQ","zIDCUESFgH4QzQ",2,"REpkQYTFYgXp0Q"
5336,"MEDICINE & PRESCRIPTION DRUGS","zIDCUESFgH4QzQ","zIDCUESFgH4QzQ",3,"reMmb0z7HODd5Q"
5379,"Abortion","F5EU+qAl6CDWOA","F5EU+qAl6CDWOA",0,"AwdHmfGmqDlmeA"
5271,"Business & Commerce","F5EU+qAl6CDWOA","F5EU+qAl6CDWOA",1,"8LJ2MUWRbYnKig"
6335,"Business & Commerce--Trade Practices","F5EU+qAl6CDWOA","F5EU+qAl6CDWOA",2,"8kTCMsnrmEa/0g"
5345,"Electronic Information Systems","F5EU+qAl6CDWOA","F5EU+qAl6CDWOA",3,"JglgJULRd16MdA"
5331,"INTERNET","F5EU+qAl6CDWOA","F5EU+qAl6CDWOA",4,"uOetXy5+4kA4Yw"
5336,"MEDICINE & PRESCRIPTION DRUGS","F5EU+qAl6CDWOA","F5EU+qAl6CDWOA",5,"Hez1iRMBnJqbrQ"
